codigo_municipio,nome_municipio,uf,qtd_inscritos,qtd_treineiros,indice_vulnerabilidade_medio,pct_sem_computador,pct_sem_internet,pct_escola_publica,pct_sem_renda_familiar,pct_pais_baixa_escolaridade,pct_baixa_vulnerabilidade,pct_media_vulnerabilidade,pct_alta_vulnerabilidade,nota_media_cn,nota_media_ch,nota_media_lc,nota_media_mt,nota_media_redacao,nota_media_geral,n_efetivo_nota,taxa_ausencia_pct,pct_treineiros,peso_estatistico,regiao
1716604,Peixe,TO,188,62,2.2074468085106385,75.53191489361703,13.829787234042554,98.40425531914893,8.51063829787234,24.46808510638298,20.212765957446805,71.27659574468085,8.51063829787234,449.51176470588234,469.00336134453784,484.0638655462185,441.69579831932776,499.4957983193277,468.7541176470588,119,36.702127659574465,32.97872340425532,119,Norte
1718204,Porto Nacional,TO,2013,603,1.8946845504222554,60.258320914058615,17.635370094386488,82.56333830104322,8.147044212617983,20.864381520119224,37.90362642821659,53.60158966716344,8.49478390461997,479.3650721336371,486.83940774487473,511.82376613515567,473.8999240698557,537.630979498861,497.91182991647685,1317,34.575260804769,29.955290611028317,1317,Norte
1718865,Santa Fé do Araguaia,TO,370,107,2.402702702702703,77.02702702702703,26.486486486486488,98.91891891891892,14.324324324324325,23.513513513513516,20.27027027027027,64.32432432432432,15.405405405405407,450.68275862068964,457.43984674329505,476.951724137931,439.6551724137931,502.60536398467434,465.46697318007665,261,29.45945945945946,28.91891891891892,261,Norte
1720804,Sítio Novo do Tocantins,TO,620,134,2.3516129032258064,74.03225806451613,19.032258064516128,96.29032258064515,14.677419354838708,31.129032258064516,19.838709677419356,66.45161290322581,13.709677419354838,457.08990825688073,470.31330275229357,489.3520642201835,441.95000000000005,544.1284403669724,480.56674311926605,436,29.677419354838708,21.612903225806452,436,Norte
1720903,Taguatinga,TO,448,142,2.3035714285714284,73.4375,22.991071428571427,97.32142857142857,10.044642857142858,26.5625,22.991071428571427,62.72321428571429,14.285714285714285,451.30263157894734,458.6769005847953,481.7728070175438,440.5432748538011,507.0175438596491,467.86263157894734,342,23.660714285714292,31.69642857142857,342,Norte
1721000,Palmas,TO,11071,2945,1.5008580977328154,43.57329961159787,10.929455333754854,74.97064402493,4.543401680065035,16.069009122933792,52.380092132598676,42.91391924848703,4.705988618914281,505.0427550448431,519.8619955156951,538.6145179372197,524.7173626681614,598.262331838565,537.2997926008968,7136,35.543311353987896,26.601029717279378,7136,Norte
1721208,Tocantinópolis,TO,1159,286,2.2993960310612596,72.04486626402071,18.550474547023295,95.94477998274374,15.44434857635893,27.95513373597929,22.77825711820535,64.0207075064711,13.201035375323556,458.39696202531644,470.0703797468354,494.1750632911392,457.94949367088606,535.8481012658228,483.288,790,31.837791199309752,24.67644521138913,790,Norte
1722081,Wanderlândia,TO,279,82,2.304659498207885,74.91039426523297,17.921146953405017,97.1326164874552,13.261648745519713,27.24014336917563,21.50537634408602,64.51612903225806,13.978494623655912,453.5449735449736,469.5783068783069,488.68465608465607,442.99417989417987,464.76190476190476,463.91280423280426,189,32.25806451612904,29.39068100358423,189,Norte
1722107,Xambioá,TO,225,55,2.2088888888888887,69.33333333333334,15.11111111111111,96.0,13.333333333333334,27.111111111111114,25.333333333333336,63.11111111111111,11.555555555555555,461.02088607594936,482.4892405063291,508.8386075949367,461.5139240506329,532.0253164556962,489.17759493670883,158,29.777777777777782,24.444444444444443,158,Norte
2100055,Açailândia,MA,3387,702,2.1054030115146145,64.03897254207263,15.146147032772364,87.48154709182168,10.806023029229408,33.0676114555654,30.026572187776797,59.34455270150576,10.628875110717448,479.5820419325433,492.61608933454875,513.7419781221513,483.26399270738375,563.6280765724704,506.5664357338195,2194,35.22291113079421,20.726306465899025,2194,Nordeste
2100204,Alcântara,MA,477,99,2.540880503144654,80.92243186582809,19.70649895178197,97.27463312368972,24.528301886792452,31.656184486373167,15.09433962264151,66.66666666666666,18.238993710691823,455.0175953079179,457.3043988269794,480.37947214076246,429.3923753665689,493.4310850439883,463.10498533724336,341,28.511530398322847,20.754716981132077,341,Nordeste
2100501,Alto Parnaíba,MA,276,51,3.039855072463768,88.40579710144928,39.492753623188406,98.55072463768117,30.07246376811594,47.46376811594203,8.333333333333332,56.88405797101449,34.78260869565217,440.2443349753695,453.0960591133005,469.4551724137931,429.29802955665025,479.90147783251234,454.3990147783251,203,26.449275362318836,18.478260869565215,203,Nordeste
2100600,Amarante do Maranhão,MA,1218,326,2.5599343185550083,77.91461412151067,23.973727422003286,94.82758620689656,20.525451559934318,38.752052545156,18.0623973727422,60.75533661740559,21.182266009852217,455.2562962962963,462.56888888888886,478.70839506172837,443.3522222222222,518.1975308641976,471.6166666666667,810,33.49753694581281,26.76518883415435,810,Nordeste
2100709,Anajatuba,MA,541,130,2.846580406654344,87.61552680221811,30.499075785582253,98.15157116451016,29.02033271719039,39.37153419593346,9.796672828096119,63.4011090573013,26.80221811460259,454.04987775061124,457.1220048899755,474.03887530562343,444.7643031784841,503.9119804400978,466.7774083129584,409,24.399260628465804,24.029574861367838,409,Nordeste
2100907,Araioses,MA,689,117,2.9550072568940493,84.03483309143687,25.544267053701013,98.69375907111755,36.86502177068215,50.36284470246735,8.99854862119013,57.03918722786647,33.9622641509434,464.746170212766,467.8844680851064,493.46319148936175,441.3155319148936,514.5106382978723,476.384,470,31.78519593613933,16.9811320754717,470,Nordeste
2100956,Arame,MA,707,227,2.9773691654879775,86.56294200848656,36.916548797736915,94.76661951909476,29.27864214992928,50.21216407355021,11.032531824611032,54.17256011315418,34.794908062234796,453.0547861507128,462.4993890020367,481.45030549898166,433.34012219959266,489.5315682281059,463.97523421588596,491,30.55162659123055,32.10749646393211,491,Nordeste
2101004,Arari,MA,1792,577,2.4542410714285716,79.74330357142857,24.274553571428573,85.32366071428571,23.939732142857142,32.142857142857146,21.372767857142858,58.09151785714286,20.535714285714285,465.82793522267207,474.31878542510117,497.8267206477733,460.1408097165992,522.1214574898786,484.04714170040484,1235,31.082589285714292,32.198660714285715,1235,Nordeste
2101202,Bacabal,MA,5190,1279,2.335067437379576,75.99229287090559,20.443159922928707,85.52986512524085,18.053949903660886,33.48747591522158,25.08670520231214,57.72639691714836,17.186897880539497,466.8494623655914,478.16567858180764,499.9222028480093,464.07276954373725,535.9197907585004,488.98598081952923,3441,33.699421965317924,24.64354527938343,3441,Nordeste
2101301,Bacuri,MA,733,184,2.9263301500682126,88.94952251023193,35.33424283765348,98.90859481582538,33.560709413369715,35.879945429740786,9.004092769440655,59.07230559345157,31.923601637107772,447.293487394958,454.7262605042017,477.6392857142857,435.3850840336134,498.781512605042,462.7651260504202,476,35.06139154160982,25.102319236016374,476,Nordeste
2101400,Balsas,MA,4515,1301,2.0664451827242525,65.60354374307863,16.699889258028794,80.19933554817275,12.314507198228128,31.827242524916944,33.20044296788483,53.51052048726467,13.2890365448505,471.2033212758961,480.54643209470566,501.10937191713253,473.1984544557711,569.4574153239066,499.1029990134824,3041,32.64673311184939,28.81506090808416,3041,Nordeste
2101509,Barão de Grajaú,MA,685,111,2.640875912408759,78.68613138686132,21.021897810218977,94.45255474452556,18.248175182481752,51.67883211678832,14.890510948905108,62.91970802919708,22.18978102189781,463.4589958158996,477.6357740585774,494.14121338912133,451.7029288702929,543.0543933054394,485.99866108786614,478,30.218978102189787,16.204379562043798,478,Nordeste
2101608,Barra do Corda,MA,2372,580,2.43929173693086,74.83136593591905,22.133220910623947,92.4114671163575,20.27824620573356,34.27487352445194,22.386172006745362,58.26306913996627,19.35075885328836,473.0521628498728,484.2928753180662,505.89694656488547,475.23600508905855,565.3562340966921,500.766844783715,1572,33.72681281618887,24.45193929173693,1572,Nordeste
2101707,Barreirinhas,MA,1601,339,2.783260462211118,84.38475952529669,32.79200499687695,96.56464709556528,24.047470331043098,40.5371642723298,13.116801998750779,60.149906308557156,26.733291692692067,458.9845041322314,466.33605371900825,488.1689049586777,440.8035123966942,497.6652892561983,470.391652892562,968,39.53778888194878,21.174266083697688,968,Nordeste
2101905,Bequimão,MA,506,106,2.857707509881423,88.3399209486166,35.77075098814229,97.62845849802372,30.8300395256917,33.201581027667984,9.683794466403162,62.450592885375485,27.865612648221344,452.9668639053254,463.04852071005917,476.91420118343194,438.7769230769231,487.63313609467457,463.8679289940829,338,33.201581027667984,20.948616600790515,338,Nordeste
2102002,Bom Jardim,MA,1049,275,2.624404194470925,79.12297426120114,26.596758817921828,94.75691134413728,23.546234509056244,38.41754051477598,17.25452812202097,59.103908484270725,23.641563393708292,463.3011678832117,468.763795620438,488.85197080291965,454.3192700729927,498.8905109489051,474.8253430656934,685,34.69971401334604,26.215443279313632,685,Nordeste
2102101,Brejo,MA,1165,392,2.7716738197424893,90.04291845493563,23.261802575107296,84.63519313304721,36.22317596566524,43.00429184549356,14.935622317596566,56.22317596566524,28.841201716738198,452.4936073059361,459.69132420091324,477.6260273972603,438.363698630137,520.8675799086758,469.8084474885845,876,24.806866952789697,33.648068669527895,876,Nordeste
2102309,Buriti Bravo,MA,942,337,2.7632696390658174,83.54564755838642,25.902335456475583,92.25053078556263,33.01486199575371,41.6135881104034,14.118895966029724,58.067940552016985,27.81316348195329,451.22968980797634,463.656129985229,479.92230428360415,444.4103397341211,514.2983751846381,470.7033677991137,677,28.131634819532913,35.774946921443735,677,Nordeste
2102325,Buriticupu,MA,2045,536,2.619559902200489,81.36919315403422,19.951100244498775,95.74572127139365,18.581907090464547,46.308068459657704,13.93643031784841,67.87286063569682,18.190709046454767,459.29412244897964,465.31730612244894,484.0220408163265,445.76367346938775,481.0285714285714,467.0851428571429,1225,40.09779951100244,26.21026894865526,1225,Nordeste
